t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
5.8000000000,-0.4259417576,0.2357360594,1.3532730465,-0.2755559573
5.8200000000,-0.4373282823,0.2044740727,1.3575450770,-0.2629769611
5.8400000000,-0.4471600945,0.1724851759,1.3616117298,-0.2503581801
5.8600000000,-0.4553672103,0.1398695772,1.3654731276,-0.2377016591
5.8800000000,-0.4618893081,0.1067364121,1.3691293876,-0.2250094277
5.9000000000,-0.4666772282,0.0732025019,1.3725806214,-0.2122835012
5.9200000000,-0.4696942556,0.0393908113,1.3758269346,-0.1995258818
5.9400000000,-0.4709171124,0.0054286530,1.3788684273,-0.1867385587
5.9600000000,-0.4703366007,-0.0285542943,1.3817051933,-0.1739235097
5.9800000000,-0.4679578567,-0.0624280703,1.3843373203,-0.1610827016
6.0000000000,-0.4638001994,-0.0960645297,1.3867648901,-0.1482180911
6.0200000000,-0.4578965845,-0.1293393580,1.3889879780,-0.1353316254
6.0400000000,-0.4502926966,-0.1621339202,1.3910066532,-0.1224252434
6.0600000000,-0.4410457358,-0.1943368720,1.3928209782,-0.1095008762
6.0800000000,-0.4302229681,-0.2258454800,1.3944310093,-0.0965604478
6.1000000000,-0.4179001178,-0.2565666198,1.3958367963,-0.0836058760
6.1200000000,-0.4041596815,-0.2864174434,1.3970383824,-0.0706390733
6.1400000000,-0.3890892372,-0.3153257250,1.3980358040,-0.0576619473
6.1600000000,-0.3727798138,-0.3432299130,1.3988290913,-0.0446764019
6.1800000000,-0.3553243708,-0.3700789254,1.3994182676,-0.0316843374
6.2000000000,-0.3368164282,-0.3958317339,1.3998033495,-0.0186876520
6.2200000000,-0.3173488670,-0.4204567842,1.3999843469,-0.0056882421
6.2400000000,-0.2970129133,-0.4439312978,1.3999612633,0.0073119971
6.2600000000,-0.2758973059,-0.4662404996,1.3997340950,0.0203111703
6.2800000000,-0.2540876397,-0.4873768072,1.3993028320,0.0333073819
6.3000000000,-0.2316658703,-0.5073390124,1.3986674575,0.0462987351
6.3200000000,-0.2087099650,-0.5261314816,1.3978279479,0.0592833310
6.3400000000,-0.1852936793,-0.5437633896,1.3967842731,0.0722592681
6.3600000000,-0.1614864400,-0.5602480039,1.3955363961,0.0852246413
6.3800000000,-0.1373533170,-0.5756020238,1.3940842736,0.0981775413
6.4000000000,-0.1129550661,-0.5898449810,1.3924278554,0.1111160539
6.4200000000,-0.0883482270,-0.6029987020,1.3905670851,0.1240382591
6.4400000000,-0.0635852628,-0.6150868308,1.3885018995,0.1369422306
6.4600000000,-0.0387147308,-0.6261344110,1.3862322291,0.1498260345
6.4800000000,-0.0137814728,-0.6361675216,1.3837579979,0.1626877293
6.5000000000,0.0111731814,-0.6452129634,1.3810791239,0.1755253642
6.5200000000,0.0361112040,-0.6532979911,1.3781955184,0.1883369793
6.5400000000,0.0609976586,-0.6604500868,1.3751070869,0.2011206039
6.5600000000,0.0858004913,-0.6666967694,1.3718137286,0.2138742563
6.5800000000,0.1104903279,-0.6720654363,1.3683153370,0.2265959427
6.6000000000,0.1350402779,-0.6765832337,1.3646117993,0.2392836565
6.6200000000,0.1594257485,-0.6802769504,1.3607029974,0.2519353774
6.6400000000,0.1836242668,-0.6831729332,1.3565888072,0.2645490704
6.6600000000,0.2076153138,-0.6852970204,1.3522690993,0.2771226854
6.6800000000,0.2313801681,-0.6866744904,1.3477437389,0.2896541556
6.7000000000,0.2549017604,-0.6873300237,1.3430125859,0.3021413974
6.7200000000,0.2781645377,-0.6872876751,1.3380754953,0.3145823087
6.7400000000,0.3011543381,-0.6865708564,1.3329323170,0.3269747688
6.7600000000,0.3238582745,-0.6852023257,1.3275828964,0.3393166365
6.7800000000,0.3462646274,-0.6832041836,1.3220270743,0.3516057502
6.8000000000,0.3683627465,-0.6805978746,1.3162646872,0.3638399260
6.8200000000,0.3901429591,-0.6774041923,1.3102955677,0.3760169571
6.8400000000,0.4115964875,-0.6736432890,1.3041195444,0.3881346127
6.8600000000,0.4327153717,-0.6693346873,1.2977364425,0.4001906373
6.8800000000,0.4534923996,-0.6644972937,1.2911460837,0.4121827488
6.9000000000,0.4739210418,-0.6591494146,1.2843482869,0.4241086382
6.9200000000,0.4939953935,-0.6533087732,1.2773428682,0.4359659681
6.9400000000,0.5137101194,-0.6469925268,1.2701296414,0.4477523717
6.9600000000,0.5330604048,-0.6402172857,1.2627084182,0.4594654514
6.9800000000,0.5520419100,-0.6329991314,1.2550790088,0.4711027778
7.0000000000,0.5706507288,-0.6253536360,1.2472412221,0.4826618883
7.0200000000,0.5888833503,-0.6172958808,1.2391948660,0.4941402858
7.0400000000,0.6067366241,-0.6088404752,1.2309397483,0.5055354377
7.0600000000,0.6242077288,-0.6000015752,1.2224756768,0.5168447743
7.0800000000,0.6412941420,-0.5907929017,1.2138024598,0.5280656872
7.1000000000,0.6579936144,-0.5812277587,1.2049199070,0.5391955284
7.1200000000,0.6743041448,-0.5713190500,1.1958278295,0.5502316084
7.1400000000,0.6902239576,-0.5610792974,1.1865260408,0.5611711948
7.1600000000,0.7057514826,-0.5505206560,1.1770143577,0.5720115110
7.1800000000,0.7208853356,-0.5396549313,1.1672926001,0.5827497341
7.2000000000,0.7356243017,-0.5284935942,1.1573605928,0.5933829938
7.2200000000,0.7499673191,-0.5170477962,1.1472181654,0.6039083704
7.2400000000,0.7639134644,-0.5053283838,1.1368651535,0.6143228929
7.2600000000,0.7774619397,-0.4933459129,1.1263013998,0.6246235379
7.2800000000,0.7906120598,-0.4811106619,1.1155267546,0.6348072267
7.3000000000,0.8033632416,-0.4686326451,1.1045410769,0.6448708243
7.3200000000,0.8157149931,-0.4559216254,1.0933442357,0.6548111371
7.3400000000,0.8276669044,-0.4429871259,1.0819361108,0.6646249107
7.3600000000,0.8392186388,-0.4298384421,1.0703165942,0.6743088279
7.3800000000,0.8503699248,-0.4164846532,1.0584855912,0.6838595070
7.4000000000,0.8611205488,-0.4029346325,1.0464430220,0.6932734986
7.4200000000,0.8714703483,-0.3891970584,1.0341888228,0.7025472844
7.4400000000,0.8814192058,-0.3752804243,1.0217229475,0.7116772740
7.4600000000,0.8909670429,-0.3611930485,1.0090453695,0.7206598029
7.4800000000,0.9001138154,-0.3469430833,0.9961560830,0.7294911296
7.5000000000,0.9088595081,-0.3325385244,0.9830551053,0.7381674335
7.5200000000,0.9172041306,-0.3179872198,0.9697424782,0.7466848119
7.5400000000,0.9251477135,-0.3032968780,0.9562182708,0.7550392771
7.5600000000,0.9326903040,-0.2884750765,0.9424825811,0.7632267537
7.5800000000,0.9398319633,-0.2735292695,0.9285355386,0.7712430759
7.6000000000,0.9465727630,-0.2584667960,0.9143773069,0.7790839840
7.6200000000,0.9529127824,-0.2432948873,0.9000080861,0.7867451214
7.6400000000,0.9588521057,-0.2280206741,0.8854281160,0.7942220317
7.6600000000,0.9643908200,-0.2126511938,0.8706376791,0.8015101548
7.6800000000,0.9695290131,-0.1971933972,0.8556371034,0.8086048239
7.7000000000,0.9742667710,-0.1816541558,0.8404267666,0.8155012619
7.7200000000,0.9786041770,-0.1660402678,0.8250070990,0.8221945776
7.7400000000,0.9825413094,-0.1503584653,0.8093785882,0.8286797620
7.7600000000,0.9860782403,-0.1346154198,0.7935417828,0.8349516846
7.7800000000,0.9892150346,-0.1188177493,0.7774972968,0.8410050891
7.8000000000,0.9919517485,-0.1029720239,0.7612458151,0.8468345900
7.8200000000,0.9942884288,-0.0870847720,0.7447880976,0.8524346675
7.8400000000,0.9962251118,-0.0711624863,0.7281249856,0.8577996642
7.8600000000,0.9977618230,-0.0552116298,0.7112574070,0.8629237799
7.8800000000,0.9988985760,-0.0392386414,0.6941863827,0.8678010679
7.9000000000,0.9996353724,-0.0232499420,0.6769130333,0.8724254297
7.9200000000,0.9999722017,-0.0072519399,0.6594385863,0.8767906109
7.9400000000,0.9999090402,0.0087489629,0.6417643834,0.8808901963
7.9600000000,0.9994458519,0.0247463656,0.6238918886,0.8847176050
