t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
5.0600000000,-1.1971729763,-0.3118348007,-0.5939554400,-0.5050146031
5.0800000000,-1.1899616452,-0.3221180101,-0.5809356152,-0.5095006241
5.1000000000,-1.1825170856,-0.3323380854,-0.5678019290,-0.5138867845
5.1200000000,-1.1748407563,-0.3424930235,-0.5545569553,-0.5181722248
5.1400000000,-1.1669341620,-0.3525808341,-0.5412032903,-0.5223561050
5.1600000000,-1.1587988524,-0.3625995399,-0.5277435512,-0.5264376050
5.1800000000,-1.1504364219,-0.3725471775,-0.5141803760,-0.5304159250
5.2000000000,-1.1418485096,-0.3824217969,-0.5005164232,-0.5342902851
5.2200000000,-1.1330367986,-0.3922214629,-0.4867543707,-0.5380599261
5.2400000000,-1.1240030160,-0.4019442548,-0.4728969159,-0.5417241091
5.2600000000,-1.1147489324,-0.4115882668,-0.4589467748,-0.5452821158
5.2800000000,-1.1052763616,-0.4211516089,-0.4449066816,-0.5487332490
5.3000000000,-1.0955871601,-0.4306324066,-0.4307793882,-0.5520768323
5.3200000000,-1.0856832271,-0.4400288018,-0.4165676633,-0.5553122102
5.3400000000,-1.0755665037,-0.4493389527,-0.4022742926,-0.5584387487
5.3600000000,-1.0652389726,-0.4585610346,-0.3879020773,-0.5614558351
5.3800000000,-1.0547026582,-0.4676932400,-0.3734538345,-0.5643628778
5.4000000000,-1.0439596254,-0.4767337790,-0.3589323960,-0.5671593073
5.4200000000,-1.0330119798,-0.4856808798,-0.3443406078,-0.5698445754
5.4400000000,-1.0218618672,-0.4945327886,-0.3296813300,-0.5724181557
5.4600000000,-1.0105114730,-0.5032877706,-0.3149574357,-0.5748795439
5.4800000000,-0.9989630217,-0.5119441098,-0.3001718107,-0.5772282576
5.5000000000,-0.9872187769,-0.5205001097,-0.2853273531,-0.5794638364
5.5200000000,-0.9752810403,-0.5289540931,-0.2704269722,-0.5815858421
5.5400000000,-0.9631521518,-0.5373044032,-0.2554735884,-0.5835938588
5.5600000000,-0.9508344886,-0.5455494034,-0.2404701327,-0.5854874931
